0.0476,0.0200,0.0007,0.0026
0.0310,0.0029,0.0141,0.0016
0.0104,0.0187,0.0147,0.0119
0.0178,0.0226,0.0255,0.0203
0.0029,0.0379,0.0006,0.0137
0.0529,0.0336,0.0157,0.0002
0.0338,0.0013,0.0122,0.0012
0.0081,0.0200,0.0201,0.0118
0.0501,0.0292,0.0134,0.0006
0.0114,0.0081,0.0035,0.0010
0.0115,0.0033,0.0137,0.0048
0.0470,0.0028,0.0097,0.0041
0.0004,0.0258,0.0213,0.0041
0.0143,0.0178,0.0043,0.0032
0.0257,0.0218,0.0732,0.0148
0.0501,0.0292,0.0134,0.0006
0.0250,0.0273,0.0168,0.0038
0.0243,0.0037,0.0041,0.0018
0.0341,0.0027,0.0041,0.0074
0.0359,0.0050,0.0072,0.0157
0.0083,0.0036,0.0045,0.0071
0.0112,0.0055,0.0055,0.0065
0.0501,0.0292,0.0134,0.0006
0.0045,0.0047,0.0150,0.0142
0.0328,0.0120,0.0516,0.0129
0.0501,0.0292,0.0134,0.0006
0.0267,0.0089,0.0006,0.0033
0.0130,0.0148,0.0008,0.0088
0.0197,0.0082,0.0112,0.0156
0.0023,0.0082,0.0037,0.0004
0.0037,0.0061,0.0102,0.0017
0.0762,0.0369,0.0044,0.0132
0.0257,0.0102,0.0037,0.0105
0.0024,0.0407,0.0063,0.0210
0.0295,0.0034,0.0101,0.0044
0.0185,0.0574,0.0259,0.0046
0.0717,0.0163,0.0015,0.0162
0.0501,0.0292,0.0134,0.0006
0.0542,0.0067,0.0143,0.0055
0.0164,0.0219,0.0089,0.0464
0.0380,0.0035,0.0122,0.0200
0.0194,0.0115,0.0094,0.0086
0.0034,0.0018,0.0041,0.0015
0.0030,0.0038,0.0044,0.0011
0.0042,0.0208,0.0093,0.0058
0.0013,0.0383,0.0211,0.0097
0.0333,0.0009,0.0270,0.0108
0.0387,0.0022,0.0293,0.0025
